total_timesteps,policy_loss,ent_coef,qf1_loss,mean_rew,qf2_loss,current_lr,success_rate,value_loss,entropy,episodes,ent_coef_loss
983399,-1.8998075,0.00087653945,0.0026740013,7191.8,0.0025622607,0.0003,0.98,0.00048077235,3.5427518,59272,-1.4520595
983454,-1.6403904,0.00087309844,0.007414762,7182.7,0.0064264317,0.0003,0.98,0.0011021369,3.3492026,59276,2.3596911
983508,-1.8502238,0.00087278703,0.0028866362,7195.3,0.00317665,0.0003,0.98,0.00033643775,3.3478613,59280,2.1113229
983575,-1.9504588,0.0008728191,0.0020944737,7162.7,0.0017190166,0.0003,0.98,0.0007062402,3.4428596,59284,-1.7435458
983635,-1.903287,0.0008730214,0.0050329594,7169.9,0.005174279,0.0003,0.98,0.0004909506,3.622189,59288,-2.2190003
983691,-1.8736147,0.00087454217,0.0053790426,7475.0,0.0055606887,0.0003,0.99,0.0007422546,3.0764742,59292,2.610392
983743,-1.9462993,0.00087813503,0.006291342,7503.7,0.005859833,0.0003,0.99,0.00024386904,3.5848246,59296,-0.0427925
983800,-1.9204254,0.0008752802,0.005554812,7518.7,0.004824989,0.0003,0.99,0.00039429968,3.3006804,59300,-2.4955525
983846,-1.992038,0.000877767,0.004280229,7554.3,0.004952726,0.0003,0.99,0.00026566413,3.6290882,59304,1.6277251
983895,-1.5686394,0.000882331,0.009138446,7559.3,0.009262719,0.0003,0.99,0.0004669213,3.360854,59308,0.32071328
984004,-1.8552035,0.00088501844,0.0028795607,7461.2,0.0024000064,0.0003,0.99,0.00038183693,3.6465173,59312,5.442281
984069,-1.9166919,0.00088204374,0.0027734027,7441.0,0.002564557,0.0003,0.99,0.0003259023,3.2222767,59316,-1.1838453
984132,-2.0035377,0.000882249,0.002304212,7417.5,0.0026576736,0.0003,0.99,0.00049274875,3.685143,59320,-1.9969723
