#{"t_start": 1606315077.983036, "env_id": "gripper-env-v0"}
r,l,t
8897.68613,7,1092.266163
10000.0,1,1092.412903
6996.316585,17,1093.385299
9098.567566,6,1093.726071
7797.878981,14,1094.552561
-30704.275437,200,1105.986793
9298.151304,5,1106.331939
9298.413708,5,1106.671522
-40000.0,200,1122.000709
9298.208915,5,1122.371684
7799.549199,14,1123.241406
5095.421789,27,1124.823008
-22601.31083,165,1133.656904
4894.857892,28,1135.275648
6200.040661,21,1136.531996
8507.659291,10,1137.130439
9297.83376,5,1137.475082
-40000.0,200,1148.471846
9298.794717,5,1148.799571
9498.172477,4,1149.053216
8601.322339,9,1149.644833
9194.981124,6,1150.034439
7497.652896,14,1150.922894
10000.0,1,1151.033502
8900.000015,7,1151.703298
9295.955742,5,1152.019327
9297.870304,5,1152.327427
8298.240133,10,1152.97227
6913.018995,19,1154.064904
8894.354971,7,1154.519684
-40000.0,200,1165.366896
2895.688298,37,1167.367192
9298.267157,5,1167.699748
10000.0,1,1167.812385
9097.164127,6,1168.274886
9698.320585,3,1168.497414
6497.680295,19,1169.647447
9299.234327,5,1170.004984
10000.0,1,1170.135947
8898.710308,7,1170.674577
-1197.058688,58,1173.938017
8898.304052,7,1174.372917
9297.344518,5,1174.738569
5501.004926,24,1176.082099
1897.87026,42,1178.352606
9297.775947,5,1178.696016
8996.361723,7,1179.145748
9297.969863,5,1179.459729
9100.000033,6,1179.833411
-2796.541659,66,1183.283123
9298.507056,5,1183.713631
9298.076317,5,1184.035833
9296.445422,5,1184.348424
-9301.712294,98,1189.275635
-39505.200206,200,1200.090912
-35303.904938,200,1211.106261
9698.633082,3,1211.328575
9296.865921,5,1211.673574
9014.27444,7,1212.237521
2295.958346,40,1214.540133
9297.879758,5,1214.88189
9498.268701,4,1215.126808
8901.247951,8,1215.628306
9699.581014,3,1215.8483
3698.332928,33,1218.309171
7898.314178,12,1218.937484
8497.411068,9,1219.479333
9297.635222,5,1219.802894
9698.011401,3,1220.081285
8196.959653,11,1220.772268
10000.0,1,1220.890102
-40000.0,200,1233.208411
9602.622541,4,1233.577584
9699.899714,3,1233.799864
9098.009759,6,1234.163326
