#{"t_start": 1597053065.1545777, "env_id": "gripper-env-v0"}
r,s,l,c,timesteps,t
1.0,0.891,44,1.0,2719175,154443.505608
1.0,0.891,44,1.0,2719219,154446.198444
0.0,0.89,44,1.0,2719263,154448.961831
1.0,0.89,44,1.0,2719307,154451.856562
1.0,0.89,44,1.0,2719351,154454.184328
1.0,0.89,44,1.0,2719395,154456.705546
1.0,0.89,44,1.0,2719439,154459.047055
1.0,0.89,44,1.0,2719483,154461.615876
1.0,0.89,44,1.0,2719527,154464.212671
1.0,0.89,44,1.0,2719571,154466.637108
1.0,0.89,44,1.0,2719615,154468.961439
1.0,0.89,44,1.0,2719659,154472.214014
1.0,0.89,44,1.0,2719703,154474.701682
1.0,0.89,44,1.0,2719747,154477.272501
1.0,0.891,44,1.0,2719791,154479.369709
0.0,0.89,41,1.0,2719832,154481.376947
1.0,0.89,44,1.0,2719876,154484.35242
1.0,0.89,44,1.0,2719920,154486.602155
1.0,0.891,44,1.0,2719964,154489.541538
1.0,0.891,45,1.0,2720009,154492.181814
1.0,0.892,44,1.0,2720053,154494.345195
0.0,0.891,32,1.0,2720085,154496.003235
1.0,0.891,44,1.0,2720129,154498.294332
1.0,0.891,44,1.0,2720173,154501.566928
1.0,0.891,44,1.0,2720217,154504.352965
1.0,0.891,44,1.0,2720261,154507.127819
1.0,0.892,44,1.0,2720305,154509.867715
1.0,0.892,44,1.0,2720349,154513.525587
1.0,0.892,44,1.0,2720393,154515.855115
1.0,0.892,44,1.0,2720437,154518.638087
1.0,0.892,44,1.0,2720481,154521.145622
0.0,0.891,44,1.0,2720525,154523.732111
1.0,0.891,44,1.0,2720569,154526.243001
1.0,0.891,44,1.0,2720613,154529.605903
0.0,0.89,25,1.0,2720638,154530.718689
1.0,0.891,44,1.0,2720682,154533.562052
0.0,0.89,44,1.0,2720726,154535.712825
0.0,0.889,29,1.0,2720755,154537.59201
1.0,0.889,44,1.0,2720799,154540.04206
1.0,0.889,44,1.0,2720843,154542.138392
1.0,0.889,44,1.0,2720887,154544.50498
1.0,0.889,44,1.0,2720931,154547.009096
0.0,0.888,44,1.0,2720975,154549.347597
1.0,0.888,44,1.0,2721019,154552.178554
1.0,0.888,44,1.0,2721063,154554.616219
0.0,0.887,44,1.0,2721107,154557.243771
1.0,0.887,44,1.0,2721151,154560.979827
1.0,0.887,44,1.0,2721195,154563.201074
0.0,0.887,43,1.0,2721238,154565.15292
1.0,0.888,44,1.0,2721282,154567.90495
1.0,0.888,44,1.0,2721326,154570.682621
1.0,0.888,44,1.0,2721370,154573.693147
1.0,0.888,44,1.0,2721414,154576.036967
1.0,0.888,44,1.0,2721458,154578.307578
1.0,0.888,44,1.0,2721502,154581.084753
1.0,0.888,44,1.0,2721546,154583.914868
1.0,0.888,44,1.0,2721590,154587.529256
1.0,0.888,44,1.0,2721634,154590.116008
0.0,0.888,41,1.0,2721675,154592.520246
1.0,0.889,44,1.0,2721719,154594.876269
1.0,0.889,44,1.0,2721763,154597.941697
1.0,0.889,44,1.0,2721807,154600.81626
0.0,0.888,44,1.0,2721851,154602.997968
1.0,0.888,44,1.0,2721895,154605.645503
1.0,0.888,44,1.0,2721939,154608.00165
