#{"t_start": 1628511158.2394655, "env_id": "gripper-env-v0"}
r,l,t
-39679.640309,200,51740.631736
8380.19738,12,51741.893537
7184.763683,18,51743.219473
8778.515996,10,51744.054132
7782.294431,15,51745.852778
8187.856339,13,51746.994694
8093.494685,14,51747.838057
7697.351706,16,51749.117006
8791.747749,10,51749.874424
5920.407352,26,51751.560876
8000.226993,15,51752.98934
8591.428345,11,51753.879245
7897.965291,15,51755.161582
8783.097831,10,51756.158957
8778.573751,10,51757.075616
8495.629531,12,51758.196205
8299.712693,13,51759.439705
8297.437734,13,51760.367158
8497.3008,12,51761.387386
8181.317209,13,51762.822267
8989.234763,9,51763.573231
8496.94983,12,51764.525836
-1372.575137,63,51768.154288
8887.261255,10,51768.959528
8582.830108,11,51769.763551
8696.030442,11,51770.804877
8783.353822,10,51771.795988
8185.540218,13,51772.994319
8985.919267,9,51773.868311
-39558.262311,200,51785.146638
8384.513256,12,51786.073979
5781.28065,25,51787.750021
8786.65572,10,51788.517323
6090.982285,24,51790.342097
3989.662144,34,51792.489912
8286.981453,13,51793.671608
8290.439417,13,51794.728055
8293.852928,13,51795.878103
8296.228374,13,51797.402733
8895.627829,10,51798.320196
6580.49233,21,51799.7879
7680.798743,16,51801.142026
8297.05332,13,51802.108358
8982.039624,9,51802.95721
-10809.448381,109,51815.402997
3297.397448,38,51817.91712
7894.781473,15,51819.038737
7981.216665,14,51820.188375
8380.058495,12,51821.108158
8494.889581,12,51822.05984
4195.591908,34,51824.707172
8580.993366,11,51825.859729
8695.026875,11,51826.763458
9093.336273,9,51827.52939
8784.447992,10,51828.46894
8983.562639,9,51829.435179
6984.411197,19,51830.885614
8888.475352,10,51831.62413
7897.433425,15,51833.69816
8982.305491,9,51834.799172
8205.544656,14,51835.792305
8382.029667,12,51836.692317
8893.057942,10,51837.384579
7203.529187,20,51838.766112
8498.75478,12,51839.6853
8581.72361,11,51840.583007
8782.724524,10,51841.40212
8894.996819,10,51842.240421
8977.936862,9,51843.050918
8787.604411,10,51843.9635
8375.531118,12,51844.952605
7897.828479,15,51846.138026
7896.624025,15,51847.408333
7785.313305,15,51849.133201
8484.585023,12,51850.708859
5476.3026,27,51853.057708
8986.214055,9,51853.718138
8379.66654,12,51854.695112
6112.697849,26,51857.123949
7784.413519,15,51858.044883
6897.294992,20,51859.764182
8583.337126,11,51860.525388
8491.666027,12,51861.631832
8179.9954,13,51862.61571
8492.252342,12,51863.563245
8499.17854,12,51865.155846
8388.576589,12,51867.084265
8179.446161,13,51868.152494
7691.900157,16,51869.291873
8586.777695,11,51870.302739
8180.012153,13,51871.372979
8982.055702,9,51872.038391
2795.586678,41,51876.096049
7895.822633,15,51877.202029
9178.032072,8,51877.826239
2807.415401,47,51881.811536
4768.602252,34,51884.38505
8496.097985,12,51885.216825
8894.112124,10,51886.214322
8580.826121,11,51887.081961
8782.537807,10,51888.226462
8376.829882,12,51889.159202
8692.86108,11,51890.044368
8388.286127,12,51891.16852
8380.600341,12,51892.108602
8488.098998,12,51893.981433
8694.004883,11,51894.96891
5696.412732,26,51896.835417
-39425.706596,200,51911.648061
8385.898021,12,51912.609731
7984.599875,14,51913.81561
8781.502152,10,51914.639407
8495.688189,12,51915.655588
9097.030974,9,51916.483813
8378.91717,12,51917.415878
8496.663109,12,51918.528113
8782.964928,10,51919.423868
8578.526325,11,51920.353506
7190.241272,18,51922.19305
7791.693843,15,51923.524255
4776.05564,30,51925.793491
8896.623381,10,51926.498256
8290.669015,13,51927.54096
7385.902773,17,51929.344626
8291.922028,13,51930.283576
2331.14801,46,51934.847976
8779.56062,10,51935.591413
6127.817572,25,51937.65414
8384.043639,12,51938.951521
8385.724665,12,51939.788508
8591.554578,11,51940.550708
6787.603064,20,51941.989495
6397.376873,23,51943.750551
4287.601375,34,51946.497039
8781.913475,10,51947.376865
6694.353256,21,51949.099092
8497.944697,12,51950.075248
8479.363045,12,51951.192859
-6214.771275,85,51956.327019
5342.009687,30,51958.231569
8886.708163,10,51959.103281
6027.110348,26,51960.857549
8580.910466,11,51961.812638
6980.72196,19,51963.697915
8390.413873,12,51964.614173
8591.711716,11,51965.553241
-39775.310809,200,51979.181909
8891.986698,10,51980.288582
8296.25774,13,51981.313206
6606.577824,23,51984.062734
-40000.0,200,51995.471203
8782.623668,10,51996.432627
7083.417129,19,51998.271809
5839.517993,27,52000.230514
8695.611421,11,52001.167263
6916.760033,21,52002.94894
8172.264268,13,52003.981751
8173.828862,13,52004.972565
8180.143946,13,52006.032783
7779.10061,15,52007.055533
8183.186099,13,52008.691633
8298.074103,13,52009.872778
7401.985159,18,52011.494015
7002.779716,20,52013.008084
7499.729875,17,52014.120646
2559.781295,44,52018.222883
9180.503225,8,52018.987456
4490.380494,32,52021.042821
5496.756875,27,52023.289352
8298.042082,13,52024.48689
8289.084587,13,52025.611054
8896.468158,10,52026.489985
8793.514261,10,52027.420137
7917.568642,16,52028.747139
8891.97656,10,52029.550205
8783.08463,10,52030.334018
5777.591382,26,52032.155695
8579.769964,11,52032.954252
8294.272121,13,52033.889026
8700.091474,11,52035.104906
5719.003362,27,52036.968083
7677.455561,16,52038.237298
5876.830578,28,52040.227745
5291.115154,28,52042.553545
7200.625166,19,52044.332429
8691.317877,11,52045.287119
7884.894255,15,52046.475617
8699.068822,11,52047.560529
8488.982816,12,52048.637916
8894.371841,10,52049.920709
8782.540918,10,52051.04508
8789.287872,10,52052.137877
8700.278417,11,52053.426833
8394.429924,12,52054.585511
5785.188087,25,52056.303094
8300.868823,13,52057.856609
-40000.0,200,52068.705703
4178.247902,33,52071.406717
8183.108768,13,52072.356383
4196.765407,35,52075.002453
8602.35764,12,52076.068461
7775.990236,15,52077.365832
8897.440769,10,52078.142678
1101.97777,50,52081.550969
8896.981784,10,52082.368288
6680.007537,21,52084.092741
8099.169787,14,52085.282739
7899.433796,15,52086.535039
8181.451884,13,52087.698004
4426.677844,35,52090.135783
1203.412446,50,52093.577549
8687.998028,11,52094.685635
8684.061946,11,52095.78445
8783.74193,10,52096.817748
7779.698795,15,52097.893273
8988.738662,9,52098.752242
8428.861417,14,52099.921297
8692.20464,11,52100.906733
514.38787,53,52104.537765
4060.046677,38,52107.264049
7185.757572,18,52108.588923
8895.547084,10,52109.448792
2493.211065,47,52113.623472
8283.255091,13,52114.761051
5375.738787,31,52117.194961
6386.181144,22,52119.081136
8981.813542,9,52120.406948
5161.319249,31,52122.314137
8493.377036,12,52123.247558
7898.101849,15,52124.460595
7398.260719,18,52125.81786
8388.97135,12,52126.766833
7990.294782,14,52127.804301
7883.460175,15,52129.018416
6198.128997,24,52131.761166
7791.287992,16,52133.650832
6505.774842,23,52136.249047
8296.036876,13,52137.357678
8293.921407,13,52138.416397
8486.716558,12,52139.368866
8695.682505,11,52140.66145
8287.642046,13,52141.601456
8291.553821,13,52142.908305
8289.002371,13,52143.983765
7796.517466,16,52145.453711
8886.246329,10,52146.826244
8890.815364,10,52147.608424
8582.417633,11,52148.564977
8097.849097,14,52149.660975
8293.352252,13,52150.670344
8288.288192,13,52151.798596
7484.846841,17,52153.200835
8702.026375,11,52154.101041
8697.436934,11,52155.023325
7782.71146,15,52156.525307
5298.939762,30,52159.448259
8496.462578,12,52160.341266
7989.697212,14,52161.286047
8696.091208,11,52162.317571
8098.836655,14,52163.469073
8285.0303,13,52164.586663
6831.242071,22,52166.462447
8699.6949,11,52167.366868
6314.412782,24,52169.033828
8487.209531,12,52169.872104
6916.143603,22,52171.580054
7579.26524,16,52172.876559
5627.137623,28,52175.266159
8688.806021,11,52176.170343
7980.833962,14,52177.371507
7778.270391,15,52178.786386
3751.963212,39,52181.678864
