time_spent_exploring,episodes,mean_100rew,success_rate,mean_td_errors,current_lr,total_timesteps
2,24100,0.6,0.61,0.0372611,0.0005,536713
2,24200,0.5,0.48,-0.008722334,0.0005,540406
2,24300,0.5,0.52,-0.00677514,0.0005,544186
2,24400,0.6,0.58,0.023696411,0.0005,547900
2,24500,0.4,0.38,-0.026098143,0.0005,551675
2,24600,0.6,0.64,0.022817608,0.0005,555363
2,24700,0.6,0.59,0.016519498,0.0005,559154
2,24800,0.6,0.55,-0.002576137,0.0005,563018
2,24900,0.5,0.53,-0.014119767,0.0005,566834
2,25000,0.7,0.68,0.048993323,0.0005,570654
2,25100,0.7,0.68,0.04974448,0.0005,574390
2,25200,0.6,0.56,0.035212465,0.0005,578082
2,25300,0.6,0.63,-0.00026140455,0.0005,581845
2,25400,0.8,0.82,0.060022756,0.0005,585670
2,25500,0.7,0.69,0.0430891,0.0005,589496
2,25600,0.6,0.62,-0.018585306,0.0005,593277
2,25700,0.6,0.56,-0.020875243,0.0005,596981
2,25800,0.7,0.69,0.0482042,0.0005,600723
2,25900,0.6,0.57,-0.00639314,0.0005,604504
2,26000,0.7,0.66,-0.009209598,0.0005,608260
2,26100,0.7,0.65,-0.0026532821,0.0005,612054
2,26200,0.7,0.68,0.030693106,0.0005,615830
2,26300,0.6,0.62,-0.0058628106,0.0005,619617
2,26400,0.6,0.64,-0.029464226,0.0005,623477
2,26500,0.5,0.52,0.0006663464,0.0005,627249
2,26600,0.4,0.41,0.012150231,0.0005,631010
2,26700,0.6,0.56,0.016768206,0.0005,634747
2,26800,0.6,0.62,0.0035332944,0.0005,638519
2,26900,0.6,0.64,0.02603772,0.0005,642295
2,27000,0.7,0.68,0.019277845,0.0005,646093
2,27100,0.7,0.65,-0.007645323,0.0005,649947
2,27200,0.5,0.48,-0.033944745,0.0005,653730
2,27300,0.7,0.65,-0.01927009,0.0005,657499
2,27400,0.8,0.75,-0.05534079,0.0005,661304
2,27500,0.7,0.66,-0.03787799,0.0005,665105
2,27600,0.7,0.7,-0.04081492,0.0005,668931
2,27700,0.6,0.61,-0.025891209,0.0005,672749
2,27800,0.6,0.59,0.00033982843,0.0005,676527
2,27900,0.6,0.56,0.08268209,0.0005,680304
2,28000,0.5,0.54,-0.0038858457,0.0005,684081
2,28100,0.6,0.55,0.015191464,0.0005,687806
2,28200,0.5,0.54,0.023264699,0.0005,691579
2,28300,0.5,0.47,0.005004201,0.0005,695267
2,28400,0.4,0.42,0.036602385,0.0005,699069
2,28500,0.5,0.46,0.019538846,0.0005,702833
2,28600,0.5,0.5,-0.03809348,0.0005,706553
2,28700,0.6,0.62,-0.016405659,0.0005,710374
2,28800,0.6,0.59,-0.032419782,0.0005,714156
2,28900,0.7,0.68,0.011502667,0.0005,717967
2,29000,0.7,0.65,-0.018729042,0.0005,721727
2,29100,0.6,0.64,0.013665142,0.0005,725482
2,29200,0.7,0.69,-0.013711739,0.0005,729302
2,29300,0.6,0.63,-0.025320359,0.0005,733055
2,29400,0.6,0.63,-0.000778147,0.0005,736870
2,29500,0.7,0.71,0.05283849,0.0005,740691
2,29600,0.7,0.73,0.01699306,0.0005,744534
2,29700,0.7,0.71,0.050171748,0.0005,748363
2,29800,0.7,0.7,0.015497943,0.0005,752183
2,29900,0.7,0.71,-0.025413554,0.0005,756005
2,30000,0.6,0.58,-0.0382315,0.0005,759786
2,30100,0.6,0.62,0.060122184,0.0005,763558
2,30200,0.7,0.7,0.05006274,0.0005,767388
2,30300,0.6,0.6,0.046942495,0.0005,771070
2,30400,0.6,0.6,-0.036108218,0.0005,774883
2,30500,0.6,0.58,0.018553615,0.0005,778673
2,30600,0.6,0.64,-0.0106418,0.0005,782506
2,30700,0.6,0.56,-0.012662461,0.0005,786340
2,30800,0.7,0.71,-0.028924868,0.0005,790176
2,30900,0.6,0.6,-0.014607255,0.0005,794032
2,31000,0.7,0.68,-0.02093295,0.0005,797850
2,31100,0.5,0.54,-0.061078265,0.0005,801631
2,31200,0.5,0.5,0.027959524,0.0005,805329
2,31300,0.6,0.56,-0.0067807147,0.0005,809095
2,31400,0.5,0.45,-0.033977747,0.0005,812703
2,31500,0.6,0.57,-0.0063142385,0.0005,816482
2,31600,0.6,0.63,0.040974762,0.0005,820328
2,31700,0.6,0.57,-0.012655802,0.0005,824092
2,31800,0.5,0.49,0.009304134,0.0005,827903
2,31900,0.7,0.67,0.0024909154,0.0005,831751
2,32000,0.5,0.53,-0.0028762678,0.0005,835506
2,32100,0.5,0.48,0.006204469,0.0005,839307
2,32200,0.5,0.54,0.006282311,0.0005,843125
2,32300,0.4,0.43,0.014897343,0.0005,846962
2,32400,0.2,0.24,0.049786784,0.0005,850772
2,32500,0.5,0.51,0.032447435,0.0005,854581
2,32600,0.6,0.6,0.009683641,0.0005,858385
2,32700,0.6,0.63,0.048937634,0.0005,862229
2,32800,0.6,0.57,0.042724635,0.0005,866032
2,32900,0.7,0.7,-0.011486275,0.0005,869895
2,33000,0.6,0.64,-0.023990262,0.0005,873734
2,33100,0.7,0.71,0.0027495353,0.0005,877589
2,33200,0.7,0.65,0.0045972355,0.0005,881421
2,33300,0.6,0.63,-0.0025304635,0.0005,885240
2,33400,0.7,0.73,0.006111796,0.0005,889088
2,33500,0.7,0.7,-0.043262687,0.0005,892887
2,33600,0.7,0.66,-0.008093105,0.0005,896714
2,33700,0.7,0.65,0.026991416,0.0005,900530
2,33800,0.7,0.7,-0.02497739,0.0005,904355
2,33900,0.7,0.7,0.04478349,0.0005,908169
2,34000,0.7,0.65,0.0035598846,0.0005,912018
2,34100,0.7,0.66,0.015207216,0.0005,915870
2,34200,0.6,0.59,0.071701646,0.0005,919692
2,34300,0.7,0.67,0.007911949,0.0005,923504
2,34400,0.6,0.63,0.0023827087,0.0005,927281
2,34500,0.5,0.54,0.002434913,0.0005,931036
2,34600,0.6,0.6,0.02206142,0.0005,934741
2,34700,0.7,0.71,-0.010378897,0.0005,938596
2,34800,0.7,0.72,-0.00010696426,0.0005,942430
2,34900,0.6,0.63,0.004905151,0.0005,946297
2,35000,0.4,0.41,0.039342165,0.0005,950138
2,35100,0.6,0.61,-0.026291601,0.0005,953965
2,35200,0.6,0.63,-0.03980015,0.0005,957794
2,35300,0.6,0.58,-0.02927322,0.0005,961569
2,35400,0.6,0.63,0.04922404,0.0005,965325
2,35500,0.6,0.56,0.010011211,0.0005,969092
2,35600,0.6,0.61,0.010587692,0.0005,972910
2,35700,0.7,0.67,0.04721549,0.0005,976756
2,35800,0.6,0.6,0.0032554427,0.0005,980603
2,35900,0.7,0.71,-0.020285212,0.0005,984345
2,36000,0.5,0.51,-0.026233893,0.0005,988153
2,36100,0.6,0.57,0.04680808,0.0005,991873
2,36200,0.7,0.66,0.010940849,0.0005,995618
2,36300,0.5,0.54,0.03531813,0.0005,999421
2,36400,0.6,0.59,-0.010718777,0.0005,1003163
2,36500,0.7,0.73,0.023569813,0.0005,1006982
2,36600,0.7,0.71,0.049277224,0.0005,1010793
2,36700,0.7,0.7,0.00928843,0.0005,1014627
2,36800,0.7,0.7,0.013452768,0.0005,1018472
2,36900,0.8,0.76,0.043082323,0.0005,1022289
2,37000,0.7,0.7,0.044050425,0.0005,1026152
2,37100,0.7,0.66,-0.0016454086,0.0005,1030014
2,37200,0.6,0.64,0.033271287,0.0005,1033877
2,37300,0.6,0.63,-0.01249456,0.0005,1037697
2,37400,0.7,0.72,-0.020726684,0.0005,1041501
2,37500,0.7,0.71,0.012274884,0.0005,1045299
2,37600,0.6,0.59,-0.004586353,0.0005,1049127
2,37700,0.4,0.39,0.027775189,0.0005,1052874
2,37800,0.7,0.66,-5.5365264e-05,0.0005,1056683
2,37900,0.7,0.65,0.0417844,0.0005,1060438
2,38000,0.5,0.5,0.055247836,0.0005,1064180
2,38100,0.6,0.63,0.0108707715,0.0005,1067985
2,38200,0.7,0.7,0.02231953,0.0005,1071864
2,38300,0.6,0.6,0.008911777,0.0005,1075714
2,38400,0.6,0.57,0.009260237,0.0005,1079537
2,38500,0.6,0.57,0.036234174,0.0005,1083299
2,38600,0.6,0.64,0.059492197,0.0005,1087125
2,38700,0.7,0.68,-0.006405295,0.0005,1090953
2,38800,0.7,0.65,0.017315429,0.0005,1094787
2,38900,0.7,0.67,0.009513639,0.0005,1098643
2,39000,0.8,0.77,-0.0071500223,0.0005,1102465
2,39100,0.7,0.69,0.044325642,0.0005,1106298
2,39200,0.7,0.69,0.00023429096,0.0005,1110160
2,39300,0.7,0.7,0.013498706,0.0005,1114035
2,39400,0.8,0.76,-0.036828194,0.0005,1117862
2,39500,0.8,0.8,-0.04311379,0.0005,1121811
2,39600,0.7,0.73,0.031557735,0.0005,1126151
2,39700,0.8,0.76,-0.003040379,0.0005,1130442
2,39800,0.7,0.66,0.003598243,0.0005,1134701
2,39900,0.8,0.78,-0.027334489,0.0005,1139043
2,40000,0.7,0.74,0.001061507,0.0005,1143412
2,40100,0.7,0.74,-0.01771373,0.0005,1147782
2,40200,0.7,0.74,-0.02900564,0.0005,1152142
2,40300,0.8,0.78,-0.009584709,0.0005,1156458
2,40400,0.6,0.55,-0.004667755,0.0005,1160775
2,40500,0.6,0.58,-0.011873882,0.0005,1165082
2,40600,0.7,0.69,0.015995424,0.0005,1169436
2,40700,0.8,0.81,0.020796558,0.0005,1173787
2,40800,0.7,0.69,-0.012821792,0.0005,1178151
2,40900,0.6,0.61,0.018981066,0.0005,1182520
2,41000,0.8,0.79,0.011021902,0.0005,1186861
2,41100,0.7,0.71,-0.011252564,0.0005,1191120
2,41200,0.7,0.67,-0.005487458,0.0005,1195418
2,41300,0.7,0.65,0.03293792,0.0005,1199784
2,41400,0.3,0.33,-0.029644385,0.0005,1203955
2,41500,0.6,0.6,0.0032066768,0.0005,1208220
2,41600,0.5,0.47,0.00092351437,0.0005,1212463
