#{"t_start": 1596974959.4286354, "env_id": "gripper-env-v0"}
r,s,l,c,timesteps,t
1.0,0.618,39,0.75,1063656,43190.083871
0.0,0.617,39,0.75,1063695,43191.42655
1.0,0.618,39,0.75,1063734,43192.697476
1.0,0.619,39,0.75,1063773,43194.491238
0.0,0.619,34,0.75,1063807,43195.608777
1.0,0.619,39,0.75,1063846,43196.861901
1.0,0.619,39,0.75,1063885,43198.255427
0.0,0.618,27,0.75,1063912,43199.093388
0.0,0.618,39,0.75,1063951,43201.73655
0.0,0.617,39,0.75,1063990,43202.826512
0.0,0.616,39,0.75,1064029,43204.688679
0.0,0.616,33,0.75,1064062,43205.785676
1.0,0.616,39,0.75,1064101,43207.025467
0.0,0.615,39,0.75,1064140,43208.340052
0.0,0.615,39,0.75,1064179,43209.968848
0.0,0.615,33,0.75,1064212,43211.0632
1.0,0.616,39,0.75,1064251,43212.549348
1.0,0.617,39,0.75,1064290,43214.311256
1.0,0.618,39,0.75,1064329,43215.9724
0.0,0.617,25,0.75,1064354,43216.707309
1.0,0.617,39,0.75,1064393,43218.377737
0.0,0.617,39,0.75,1064432,43219.707465
0.0,0.617,34,0.75,1064466,43220.729626
0.0,0.617,39,0.75,1064505,43222.438802
1.0,0.617,39,0.75,1064544,43223.740481
0.0,0.617,39,0.75,1064583,43225.001068
1.0,0.617,39,0.75,1064622,43226.363235
1.0,0.618,39,0.75,1064661,43228.006603
1.0,0.618,39,0.75,1064700,43229.542061
0.0,0.617,32,0.75,1064732,43230.614662
1.0,0.617,39,0.75,1064771,43232.066622
0.0,0.617,39,0.75,1064810,43233.275305
1.0,0.618,39,0.75,1064849,43234.468906
1.0,0.618,39,0.75,1064888,43235.959224
1.0,0.619,39,0.75,1064927,43237.471512
1.0,0.62,39,0.75,1064966,43239.028514
1.0,0.62,39,0.75,1065005,43240.872916
1.0,0.62,39,0.75,1065044,43242.494098
1.0,0.62,39,0.75,1065083,43243.713898
1.0,0.62,39,0.75,1065122,43245.416065
1.0,0.62,39,0.75,1065161,43246.899951
1.0,0.62,39,0.75,1065200,43248.361937
0.0,0.619,33,0.75,1065233,43249.426298
0.0,0.619,39,0.75,1065272,43250.665448
1.0,0.619,39,0.75,1065311,43252.087166
0.0,0.618,39,0.75,1065350,43253.39455
1.0,0.618,39,0.75,1065389,43255.173609
1.0,0.618,39,0.75,1065428,43256.496136
1.0,0.618,39,0.75,1065467,43259.024223
1.0,0.618,39,0.75,1065506,43260.580816
0.0,0.617,33,0.75,1065539,43261.797764
0.0,0.616,39,0.75,1065578,43263.047061
0.0,0.615,39,0.75,1065617,43264.30774
1.0,0.615,39,0.75,1065656,43265.620067
1.0,0.615,39,0.75,1065695,43267.124954
0.0,0.614,39,0.75,1065734,43268.331546
1.0,0.614,39,0.75,1065773,43269.840823
0.0,0.614,39,0.75,1065812,43270.941683
0.0,0.613,39,0.75,1065851,43272.866055
0.0,0.612,39,0.75,1065890,43274.201967
1.0,0.613,39,0.75,1065929,43275.471869
1.0,0.614,39,0.75,1065968,43276.843871
1.0,0.614,39,0.75,1066007,43278.515589
1.0,0.614,39,0.75,1066046,43281.072908
1.0,0.614,39,0.75,1066085,43282.381816
1.0,0.614,39,0.75,1066124,43284.054362
1.0,0.614,39,0.75,1066163,43286.027396
1.0,0.615,39,0.75,1066202,43287.3655
1.0,0.615,39,0.75,1066241,43288.908813
0.0,0.615,39,0.75,1066280,43290.430434
1.0,0.615,39,0.75,1066319,43291.854806
0.0,0.614,36,0.75,1066355,43294.041769
1.0,0.614,39,0.75,1066394,43295.586699
1.0,0.614,39,0.75,1066433,43297.0987
0.0,0.613,39,0.75,1066472,43298.202866
0.0,0.612,33,0.75,1066505,43299.416035
0.0,0.611,20,0.75,1066525,43300.162126
1.0,0.612,39,0.75,1066564,43301.581861
1.0,0.613,39,0.75,1066603,43303.168541
1.0,0.613,39,0.75,1066642,43305.939033
1.0,0.613,39,0.75,1066681,43307.55339
1.0,0.613,39,0.75,1066720,43310.364775
0.0,0.612,39,0.75,1066759,43312.140301
1.0,0.612,39,0.75,1066798,43313.785023
0.0,0.612,36,0.75,1066834,43315.090532
0.0,0.611,39,0.75,1066873,43316.186908
0.0,0.611,39,0.75,1066912,43317.552633
0.0,0.61,39,0.75,1066951,43318.760293
0.0,0.609,39,0.75,1066990,43320.035282
1.0,0.61,39,0.75,1067029,43321.996837
1.0,0.611,39,0.75,1067068,43323.791723
0.0,0.61,39,0.75,1067107,43326.895371
1.0,0.611,39,0.75,1067146,43328.504102
1.0,0.611,39,0.75,1067185,43329.958105
0.0,0.61,38,0.75,1067223,43331.494158
1.0,0.61,39,0.75,1067262,43332.789512
1.0,0.61,39,0.75,1067301,43335.128016
1.0,0.61,39,0.75,1067340,43336.653936
