#{"t_start": 1607074036.1581895, "env_id": "gripper-env-v0"}
r,l,t
506.839933,50,7967.359883
9300.60409,5,7967.766409
9298.023479,5,7968.129907
695.488428,48,7971.106906
5410.000965,25,7972.614582
5008.483201,27,7974.204267
-13702.583381,120,7981.646792
4996.07871,28,7983.263823
3096.022747,36,7985.356097
-40000.0,200,7998.205123
7694.019791,13,7999.21408
8798.599833,10,7999.921564
-40000.0,200,8017.677406
8412.968143,10,8018.374773
9300.488459,5,8018.74077
-31499.657592,200,8031.024836
9404.159101,5,8031.557135
2094.529993,42,8033.961305
-40000.0,200,8045.963276
-37977.834327,200,8057.721313
5378.495005,25,8059.521891
-40000.0,200,8071.618164
-593.547886,55,8076.179785
-10701.735185,105,8082.324309
702.785779,49,8086.724737
9611.389089,4,8087.009948
-9101.346035,97,8092.405097
6807.889418,18,8093.548301
8700.116053,8,8094.096499
-18301.81952,143,8102.431045
1404.158209,46,8105.318962
-28699.997624,195,8117.174037
-40000.0,200,8129.064068
6895.770947,17,8130.384067
4098.431877,31,8132.857805
-39799.137527,200,8144.682053
-40000.0,200,8156.704799
-31996.148727,200,8169.5048
9198.960294,6,8169.95843
8697.987709,8,8170.593959
-15502.098435,129,8178.167518
-40000.0,200,8190.4578
9298.073491,5,8190.88966
9297.794629,5,8191.268691
9499.119593,4,8191.589295
8494.177422,9,8192.239763
8499.479084,9,8192.889036
9100.432663,6,8193.334916
9100.146354,6,8193.816037
8499.687057,10,8194.552896
4290.78235,30,8196.485469
7612.090039,14,8197.369815
9499.903659,4,8197.674635
9415.792523,5,8198.038351
-3500.074607,69,8202.549948
9012.305238,7,8203.069039
9497.945382,4,8203.369022
9497.897407,4,8203.786306
9699.038985,3,8204.138056
-40000.0,200,8216.617388
3207.832997,36,8218.951257
2097.575845,41,8221.381425
8719.021522,9,8222.001139
-40000.0,200,8235.054209
9099.999495,6,8235.599353
6695.428646,18,8236.895151
9297.199313,5,8237.21089
9297.771134,5,8237.546348
9297.867808,5,8237.8917
9299.492424,5,8238.435627
9499.44873,4,8238.741731
9211.725845,6,8239.156311
9297.816146,5,8239.508015
9699.563877,3,8239.792056
